Region,Scenario,Period,Q1,Q3,Median,Whisker_low,Whisker_high
6,SSP5-8.5,P1,43139.7616656215,45860.31839409373,44926.2900345326,40829.68490320749,47678.67292434272
6,SSP5-8.5,P2,46026.60709626685,48701.34654216503,48260.913273724036,43644.047247671115,51947.50655152282
6,SSP5-8.5,P3,46994.128328699684,49675.995271223976,48373.050469169335,45720.046239025454,51779.39174666238
6,SSP5-8.5,P4,50029.903212516496,52771.323740464686,51534.59949682605,48588.99226570558,55469.17098794879
7,HIST,P0,48031.42186219443,50996.273432612186,49118.002872151395,46458.70288080252,54433.52938697634
7,SSP1-2.6,P1,46886.98599455471,49787.54204923527,48468.38102278686,44359.30735226803,51762.81990117223
7,SSP1-2.6,P2,45966.39527620454,48444.24218496839,46936.05472998897,43685.98287750934,51242.71579841385
7,SSP1-2.6,P3,45803.47967419856,48607.45503811977,47388.87228327633,43831.54772790588,50325.278784601265
7,SSP1-2.6,P4,45056.14869221908,47240.354940314486,46045.69830180651,41888.585833353434,49066.10007979262
7,SSP2-4.5,P1,49483.06140500031,51484.4975412161,50862.446842604375,47934.79090667082,53919.30875453873
7,SSP2-4.5,P2,48335.198917100584,53345.874141517765,51687.84043986522,45256.76916310667,56622.26206470217
7,SSP2-4.5,P3,49631.587170424886,51758.05728194262,50945.121117058545,46812.27460367575,53793.61547054378
7,SSP2-4.5,P4,49628.38035370612,51174.24259763449,50091.45826378222,47749.60844184997,52946.864377255515
7,SSP3-7.0,P1,49316.33062961515,51787.09767283497,49911.50516883338,47543.44409635331,54838.23532515091
7,SSP3-7.0,P2,51940.96000233196,54129.01272871745,52963.89591162359,49036.05745130882,55101.25203006181
7,SSP3-7.0,P3,52477.87494235689,55281.05061104521,53879.092187474744,49161.216790845785,55892.199915683035
7,SSP3-7.0,P4,55379.807759676434,57716.09350937812,56782.36157194612,52969.73944116599,60053.11764946079
7,SSP5-8.5,P1,48144.09802215,52852.98518170505,50032.709403522895,45443.1449621147,54992.23593015263
7,SSP5-8.5,P2,50964.22688782819,52881.40941856717,51721.311291398786,49474.54314531709,54438.679706291456
7,SSP5-8.5,P3,52546.8953993539,55577.82295594881,54340.5010846772,49444.84805749108,59362.81915384098
7,SSP5-8.5,P4,56856.44462206901,61177.48311538421,58890.66810234332,53454.81757131538,63845.80217061513
8,HIST,P0,27963.181362807692,30121.257545781828,29245.338984735172,27082.637377488652,31652.289181699718
8,SSP1-2.6,P1,28228.27903254256,31280.15666279191,30164.8659979087,26415.482254665912,32952.73875522764
8,SSP1-2.6,P2,28362.264165140263,30104.63134784536,29440.52610266187,26944.028019152734,31911.002536140957
8,SSP1-2.6,P3,28414.074375357297,31429.219805486333,29427.152300887705,26896.40007420351,33298.00208879644
8,SSP1-2.6,P4,27431.855389078053,29120.285771180803,28644.595126982807,24965.178151923777,30487.174486376254
8,SSP2-4.5,P1,29421.200526296587,31277.54073301256,30467.540291524612,28273.130519163424,33614.36602117229
8,SSP2-4.5,P2,29979.956884338433,32092.755991580427,30573.89190763863,28038.95649380092,33438.569516556665
8,SSP2-4.5,P3,29676.934757753246,32505.47107153824,30584.91078744015,28480.090855953385,35882.70637381213
8,SSP2-4.5,P4,30002.85668495344,31967.64146587929,31178.383678610502,28705.232592928038,34610.0538055884
8,SSP3-7.0,P1,29028.33406593249,31823.402528748753,30176.30320710404,26221.057247825567,34519.12417993686
8,SSP3-7.0,P2,31129.174976322156,33357.34022769084,32850.372191280214,29285.12674035808,34329.33287095934
8,SSP3-7.0,P3,32939.5208382541,35567.03972534316,34469.23270708229,29935.054614097113,38500.394676755735
8,SSP3-7.0,P4,33890.79662227986,36598.02972173188,34697.735776114016,32238.03072942554,39004.584983555906
8,SSP5-8.5,P1,28899.23304954842,31639.938759490295,29560.356219999245,26403.92537690988,35168.26407290014
8,SSP5-8.5,P2,31107.03510310149,33653.339051549294,32259.422564083514,28422.226299500355,35859.603456271856
8,SSP5-8.5,P3,32798.46411370404,35272.61266200556,34521.05994278731,31025.472192538386,37045.04264974373
8,SSP5-8.5,P4,34908.05930773654,37445.467583070684,36396.5175844834,31932.96021029138,40827.00102740406
9,HIST,P0,21955.698738452113,23099.74451293679,22239.0236711729,21456.384719291833,24690.276335553615
9,SSP1-2.6,P1,21814.117682451415,23138.78574502066,22899.405349313398,20894.488170341094,24223.765609257935
9,SSP1-2.6,P2,22073.24737555363,23978.65965960035,22679.009667259106,21216.953175673698,25446.4099350233
9,SSP1-2.6,P3,22560.559392966126,23601.143684359875,23087.210730995095,21976.27616834868,25096.971798157436
9,SSP1-2.6,P4,22268.287334560824,23782.98264449135,23144.69052084216,20893.296070971795,25107.330392157503
9,SSP2-4.5,P1,23210.31699769104,24872.943297539186,23459.724648900745,21923.19531266166,25949.278314404903
9,SSP2-4.5,P2,23248.278346033057,25303.37721088017,24314.28173991069,21638.751543256567,26548.51814596945
9,SSP2-4.5,P3,23831.943793122107,25665.4920858415,24756.195395840667,22379.405130343934,26812.04733368175
9,SSP2-4.5,P4,24454.6192536629,25693.408789603338,24870.591338092727,23406.076631485237,27366.786459363408
9,SSP3-7.0,P1,22683.88105659117,25251.514418900413,23224.31431880509,21894.805239823487,26275.734360828217
9,SSP3-7.0,P2,24691.19844266971,26389.92978373458,25695.386551598807,22887.316182500632,28373.020456443366
9,SSP3-7.0,P3,25938.205206827493,27597.515988792686,26592.62314220986,25085.328798979175,29200.381609553842
9,SSP3-7.0,P4,28672.06043079055,29986.934572175145,29258.686352602912,26911.963112602934,31566.958954583333
9,SSP5-8.5,P1,23003.56360385497,24864.556819026042,23557.737549688245,21722.634991497653,26588.124644824224
9,SSP5-8.5,P2,24495.476432278694,26490.902853848314,25550.55785546421,23622.117115749417,28719.719254739153
9,SSP5-8.5,P3,26412.972792962075,28499.934562808317,27639.85808897635,24944.951193111658,30565.654916420375
9,SSP5-8.5,P4,29193.722414431868,30170.169545673183,29774.847085153422,28023.248843501744,31496.946677210562
10,HIST,P0,48892.219624965255,53094.78420531466,50650.882081976924,47022.25767683733,55017.251646755976
10,SSP1-2.6,P1,52533.52144191746,58150.76916853998,55628.79059754127,48213.30878127765,64847.40775750716
10,SSP1-2.6,P2,58070.31893040515,61673.35976381639,60267.315160627506,54201.32620855054,66407.55443088514
10,SSP1-2.6,P3,57502.87726449894,62950.16615712544,60324.07013732786,51469.54108597095,65892.760122674
10,SSP1-2.6,P4,57871.863375605055,61766.06319143594,59952.26174747378,53734.780140144976,66106.15704379664
10,SSP2-4.5,P1,54462.90942795751,60092.57308487295,56997.23729070623,49149.684658765735,65930.59461796755
10,SSP2-4.5,P2,61424.703113287556,66182.94209185138,62510.791843425555,56081.27610616233,72967.89853610402
10,SSP2-4.5,P3,64726.927790413676,69952.19562230787,66559.40009177964,59032.422762272654,71582.62204837488
10,SSP2-4.5,P4,68885.426485453,73964.69772029475,71447.55937092571,62308.349319331974,80960.45513473067
10,SSP3-7.0,P1,53626.05259840604,60898.372153972814,56241.455103507025,49093.80720057532,69488.06037447338
10,SSP3-7.0,P2,61754.35952346839,69469.99293069608,65583.45807307673,56840.837728257306,73029.92613021552
10,SSP3-7.0,P3,71040.13734818013,78025.84789457315,74790.78812920989,67609.08899000303,79641.88613206614
10,SSP3-7.0,P4,83002.22029194613,92263.1538671308,88345.92472430556,75150.41383422782,104312.73062414996
10,SSP5-8.5,P1,55952.26883852074,63294.21514743187,60863.8282767761,52693.490673833,72271.93500763303
10,SSP5-8.5,P2,68954.82797502531,74922.65893131023,69908.22389074482,63271.06467670703,79987.72396536202
10,SSP5-8.5,P3,78969.15316240785,90297.4106410373,84898.09427568023,74409.68270037476,101080.9273089029
10,SSP5-8.5,P4,98466.64339537076,105252.98247910972,103396.2516340813,95001.58309917852,111291.01943851593
11,HIST,P0,70115.29426202929,74618.04438736988,72017.14032712387,68248.97574241424,78680.18054349444
11,SSP1-2.6,P1,75881.5206989647,77918.05389031832,76979.82414262948,73068.6671359863,80604.71076640568
11,SSP1-2.6,P2,75710.39476978901,79206.72530371211,77918.07786944689,72605.41478879517,83655.37720645238
11,SSP1-2.6,P3,77152.8064804631,79308.50588433657,78582.10172316886,74322.89530399174,81040.29694732442
11,SSP1-2.6,P4,75615.20590700622,79658.57336656864,77358.20639404953,72573.13959573228,83308.12239758341
11,SSP2-4.5,P1,75988.83834872859,80923.22921199366,78555.71262903778,68993.88849166459,83747.16894554946
11,SSP2-4.5,P2,78501.4951931726,81282.68293480886,79923.01935744687,76940.48842045739,84543.58012039919
11,SSP2-4.5,P3,78329.33304781292,82098.24814418181,79672.6614495075,74903.72089639748,85261.74993725783
11,SSP2-4.5,P4,82103.35414099785,84943.83215875526,83961.94634895558,79411.42768342383,87686.41600937751
11,SSP3-7.0,P1,76767.52478502507,80013.82992369379,77686.27021682955,72031.11296621445,83359.49912141787
11,SSP3-7.0,P2,77448.94366821632,82129.83386754218,79772.87733578816,74659.47345624419,85239.65819405657
11,SSP3-7.0,P3,81655.77529716823,85215.51902180904,83192.93817835434,79509.66059666483,88874.34720834396
11,SSP3-7.0,P4,85703.18123063855,88345.7246603216,86897.09805644327,81984.2098340671,91342.28821509308
11,SSP5-8.5,P1,77366.02433008449,80269.2790152685,79325.8767744881,74259.62496471318,83967.86514297793
11,SSP5-8.5,P2,80209.26186082608,84391.61801124473,82402.66831777866,78820.86150877034,86435.68122769064
11,SSP5-8.5,P3,85093.4449152763,87978.82552904317,86844.25053693894,83098.82573076227,90666.52384413122
11,SSP5-8.5,P4,89737.80340785516,93242.27951677897,92336.09944650762,86153.12121576488,96906.67387894115
12,HIST,P0,41561.77121052058,43919.68241071112,42821.76181091576,39404.613446197414,46532.37205846407
12,SSP1-2.6,P1,46774.44243960928,50390.87951731332,48501.94889598366,43477.9166378027,55229.46569274498
12,SSP1-2.6,P2,51649.25542670203,54496.77704230309,53230.70455128558,48291.13542319863,57721.977735957975
12,SSP1-2.6,P3,51351.72497021162,54673.70622309991,53056.824434370494,49487.3576074744,57625.91294586028
12,SSP1-2.6,P4,52220.865853865966,55669.57939746208,54472.979867245915,48205.13440084149,58672.4140956019
12,SSP2-4.5,P1,47330.842101476796,51435.20218394856,49503.42298209635,42795.11165517761,53922.55934120096
12,SSP2-4.5,P2,52625.55803916387,55932.205394989534,53721.79660632744,48983.025592589765,60724.88111445238
12,SSP2-4.5,P3,54843.06509670699,57779.90178663359,56727.47503878612,52737.247960375455,61075.52301579875
12,SSP2-4.5,P4,62532.10300214681,65519.217089578364,63902.732626952886,59863.498518779175,69670.44204204269
12,SSP3-7.0,P1,46745.16174096914,50831.788756796814,49437.79088558968,42061.79081605632,56072.27972667875
